aeroportoPartenza;cittàPartenza;nazionePartenza;aeroportoArrivo;cittàArrivo;nazioneArrivo;compagniaAerea
"Suvarnabhumi Intl";Bangkok;Thailand;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Bangalore;Bangalore;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Bangalore;Bangalore;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Bangalore;Bangalore;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
Bangalore;Bangalore;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
"Chhatrapati Shivaji Intl";Mumbai;India;Bangalore;Bangalore;India;"IndiGo Airlines"
"Chhatrapati Shivaji Intl";Mumbai;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
"Chhatrapati Shivaji Intl";Mumbai;India;"Dubai Intl";Dubai;"United Arab Emirates";"IndiGo Airlines"
"Chhatrapati Shivaji Intl";Mumbai;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
"Chhatrapati Shivaji Intl";Mumbai;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
"Chhatrapati Shivaji Intl";Mumbai;India;"Seeb Intl";Muscat;Oman;"IndiGo Airlines"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Suvarnabhumi Intl";Bangkok;Thailand;"IndiGo Airlines"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;Bangalore;Bangalore;India;"IndiGo Airlines"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
Coimbatore;Coimbatore;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Coimbatore;Coimbatore;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Coimbatore;Coimbatore;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
Cochin;Kochi;India;Bangalore;Bangalore;India;"IndiGo Airlines"
Cochin;Kochi;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Cochin;Kochi;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Cochin;Kochi;India;"Dubai Intl";Dubai;"United Arab Emirates";"IndiGo Airlines"
Cochin;Kochi;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
Cochin;Kochi;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
"Indira Gandhi Intl";Delhi;India;"Suvarnabhumi Intl";Bangkok;Thailand;"IndiGo Airlines"
"Indira Gandhi Intl";Delhi;India;Bangalore;Bangalore;India;"IndiGo Airlines"
"Indira Gandhi Intl";Delhi;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Indira Gandhi Intl";Delhi;India;"Dubai Intl";Dubai;"United Arab Emirates";"IndiGo Airlines"
"Indira Gandhi Intl";Delhi;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
"Indira Gandhi Intl";Delhi;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
"Dubai Intl";Dubai;"United Arab Emirates";"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Dubai Intl";Dubai;"United Arab Emirates";"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
"Dubai Intl";Dubai;"United Arab Emirates";Hyderabad;Hyderabad;India;"IndiGo Airlines"
"Dubai Intl";Dubai;"United Arab Emirates";"Chennai Intl";Madras;India;"IndiGo Airlines"
"Lokpriya Gopinath Bordoloi International Airport";Guwahati;India;Bangalore;Bangalore;India;"IndiGo Airlines"
"Lokpriya Gopinath Bordoloi International Airport";Guwahati;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Goa;Goa;India;Bangalore;Bangalore;India;"IndiGo Airlines"
Goa;Goa;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Goa;Goa;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Hyderabad;Hyderabad;India;Bangalore;Bangalore;India;"IndiGo Airlines"
Hyderabad;Hyderabad;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Hyderabad;Hyderabad;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Hyderabad;Hyderabad;India;"Dubai Intl";Dubai;"United Arab Emirates";"IndiGo Airlines"
Hyderabad;Hyderabad;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
"Devi Ahilyabai Holkar";Indore;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Devi Ahilyabai Holkar";Indore;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Chandigarh;Chandigarh;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Jammu;Jammu;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Jaipur;Jaipur;India;Bangalore;Bangalore;India;"IndiGo Airlines"
Jaipur;Jaipur;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Jaipur;Jaipur;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
"Tribhuvan Intl";Kathmandu;Nepal;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Lucknow;Lucknow;India;Bangalore;Bangalore;India;"IndiGo Airlines"
Lucknow;Lucknow;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Lucknow;Lucknow;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
"Chennai Intl";Madras;India;Bangalore;Bangalore;India;"IndiGo Airlines"
"Chennai Intl";Madras;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Chennai Intl";Madras;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
"Chennai Intl";Madras;India;"Dubai Intl";Dubai;"United Arab Emirates";"IndiGo Airlines"
"Chennai Intl";Madras;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
"Chennai Intl";Madras;India;"Changi Intl";Singapore;Singapore;"IndiGo Airlines"
"Seeb Intl";Muscat;Oman;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Dr Ambedkar Intl";Nagpur;India;Bangalore;Bangalore;India;"IndiGo Airlines"
"Dr Ambedkar Intl";Nagpur;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Dr Ambedkar Intl";Nagpur;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Patna;Patina;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Pune;Pune;India;Bangalore;Bangalore;India;"IndiGo Airlines"
Pune;Pune;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Pune;Pune;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
Pune;Pune;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
Raipur;Raipur;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
Raipur;Raipur;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
"Changi Intl";Singapore;Singapore;"Chennai Intl";Madras;India;"IndiGo Airlines"
Srinagar;Srinagar;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
Srinagar;Srinagar;India;"Indira Gandhi Intl";Delhi;India;"IndiGo Airlines"
"Thiruvananthapuram Intl";Trivandrum;India;Bangalore;Bangalore;India;"IndiGo Airlines"
"Thiruvananthapuram Intl";Trivandrum;India;"Chhatrapati Shivaji Intl";Mumbai;India;"IndiGo Airlines"
"Thiruvananthapuram Intl";Trivandrum;India;"Dubai Intl";Dubai;"United Arab Emirates";"IndiGo Airlines"
"Thiruvananthapuram Intl";Trivandrum;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
Vishakhapatnam;Vishakhapatnam;India;Hyderabad;Hyderabad;India;"IndiGo Airlines"
Vishakhapatnam;Vishakhapatnam;India;"Chennai Intl";Madras;India;"IndiGo Airlines"
Eilat;Elat;Israel;"Sde Dov";Tel-aviv;Israel;Israir
Eilat;Elat;Israel;"Ben Gurion";Tel-aviv;Israel;Israir
Fiumicino;Rome;Italy;"Ben Gurion";Tel-aviv;Israel;Israir
"Franz Josef Strauss";Munich;Germany;"Ben Gurion";Tel-aviv;Israel;Israir
"Cote D\'Azur";Nice;France;"Ben Gurion";Tel-aviv;Israel;Israir
Schonefeld;Berlin;Germany;"Ben Gurion";Tel-aviv;Israel;Israir
"Ben Gurion";Tel-aviv;Israel;Fiumicino;Rome;Italy;Israir
"Ben Gurion";Tel-aviv;Israel;"Franz Josef Strauss";Munich;Germany;Israir
"Ben Gurion";Tel-aviv;Israel;"Cote D\'Azur";Nice;France;Israir
"Ben Gurion";Tel-aviv;Israel;Schonefeld;Berlin;Germany;Israir
"Ambouli International Airport";Djibouti;Djibouti;"Dubai Intl";Dubai;"United Arab Emirates";"Skynet Asia Airways"
Central;Saratov;Russia;Domododevo;Moscow;Russia;"Saratov Aviation Division"
Central;Saratov;Russia;"Heydar Aliyev";Baku;Azerbaijan;"Saratov Aviation Division"
"Suvarnabhumi Intl";Bangkok;Thailand;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Mactan Cebu Intl";Cebu;Philippines;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"New Chitose";Sapporo;Japan;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
Fukuoka;Fukuoka;Japan;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Guam Intl";Agana;Guam;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Hong Kong Intl";"Hong Kong";"Hong Kong";"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Incheon Intl";Seoul;"South Korea";"Suvarnabhumi Intl";Bangkok;Thailand;"Jeju Air"
"Incheon Intl";Seoul;"South Korea";"Hong Kong Intl";"Hong Kong";"Hong Kong";"Jeju Air"
"Incheon Intl";Seoul;"South Korea";"Narita Intl";Tokyo;Japan;"Jeju Air"
Kansai;Osaka;Japan;Gimpo;Seoul;"South Korea";"Jeju Air"
Kansai;Osaka;Japan;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Ninoy Aquino Intl";Manila;Philippines;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Chubu Centrair Intl";Nagoya;Japan;Gimpo;Seoul;"South Korea";"Jeju Air"
"Chubu Centrair Intl";Nagoya;Japan;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Narita Intl";Tokyo;Japan;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Gimhae Intl";Busan;"South Korea";"Suvarnabhumi Intl";Bangkok;Thailand;"Jeju Air"
"Tansonnhat Intl";"Ho Chi Minh City";Vietnam;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
Liuting;Qingdao;China;"Incheon Intl";Seoul;"South Korea";"Jeju Air"
"Westerland Sylt";Westerland;Germany;Hamburg;Hamburg;Germany;"Aeroline GmbH"
Kuujjuaq;Quujjuaq;Canada;"Pierre Elliott Trudeau Intl";Montreal;Canada;"First Air"
Fukuoka;Fukuoka;Japan;"Tokyo Intl";Tokyo;Japan;"Star Flyer"
Kansai;Osaka;Japan;"Tokyo Intl";Tokyo;Japan;"Star Flyer"
"New Kitakyushu";Kitakyushu;Japan;"Tokyo Intl";Tokyo;Japan;"Star Flyer"
Flamingo;Kralendijk;"Netherlands Antilles";"Miami Intl";Miami;"United States";"Insel Air (7I/INC) (Priv)"
Hato;Willemstad;"Netherlands Antilles";"Norman Manley Intl";Kingston;Jamaica;"Insel Air (7I/INC) (Priv)"
Hato;Willemstad;"Netherlands Antilles";"Miami Intl";Miami;"United States";"Insel Air (7I/INC) (Priv)"
"Toussaint Louverture Intl";Port-au-prince;Haiti;"Miami Intl";Miami;"United States";"Insel Air (7I/INC) (Priv)"
"Cozumel Intl";Cozumel;Mexico;"Cancun Intl";Cancun;Mexico;"Mongolian International Air Lines "
"Licenciado Manuel Crescencio Rejon Int";Merida;Mexico;"Cancun Intl";Cancun;Mexico;"Mongolian International Air Lines "
Vityazevo;Anapa;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
Sochi;Sochi;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Aktyubinsk;Aktyubinsk;Kazakhstan;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Cheboksary Airport";Cheboksary;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Domododevo;Moscow;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
"Belgorod International Airport";Belgorod;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Elista Airport";Elista;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Grozny Airport";Grozny;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Grozny Airport";Grozny;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
Tunoshna;Yaroslavl;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Tunoshna;Yaroslavl;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
"Izhevsk Airport";Izhevsk;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Kaunas Intl";Kaunas;Lithuania;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Kirovsk-Apatity Airport";Apatity;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Pulkovo;"St. Petersburg";Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Murmansk;Murmansk;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Mineralnyye Vody";"Mineralnye Vody";Russia;"Sabiha Gokcen";Istanbul;Turkey;"BRA-Transportes Aereos"
"Beslan Airport";Beslan;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
"Petrozavodsk Airport";Petrozavodsk;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Saransk Airport";Saransk;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Shpakovskoye;Stavropol;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
Ufa;Ufa;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
"Belbek Sevastopol International Airport";Sevastopol;Ukraine;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Barataevka;Ulyanovsk;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Barataevka;Ulyanovsk;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
Uraj;Uraj;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
"Vorkuta Airport";Vorkuta;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Gumrak;Volgograd;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Gumrak;Volgograd;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
Chertovitskoye;Voronezh;Russia;Domododevo;Moscow;Russia;"BRA-Transportes Aereos"
Chertovitskoye;Voronezh;Russia;Pulkovo;"St. Petersburg";Russia;"BRA-Transportes Aereos"
"Suvarnabhumi Intl";Bangkok;Thailand;"Incheon Intl";Seoul;"South Korea";BusinessAir
"Phuket Intl";Phuket;Thailand;"Suvarnabhumi Intl";Bangkok;Thailand;BusinessAir
"Phuket Intl";Phuket;Thailand;"Incheon Intl";Seoul;"South Korea";BusinessAir
"Incheon Intl";Seoul;"South Korea";"Suvarnabhumi Intl";Bangkok;Thailand;BusinessAir
Wujiaba;Kunming;China;"Capital Intl";Beijing;China;"Cargo Plus Aviation"
Wujiaba;Kunming;China;Pudong;Shanghai;China;"Cargo Plus Aviation"
"Mangshi Airport";Luxi;China;"Capital Intl";Beijing;China;"Cargo Plus Aviation"
"Suvarnabhumi Intl";Bangkok;Thailand;"Changi Intl";Singapore;Singapore;Maxair
"Yangon Intl";Yangon;Burma;"Suvarnabhumi Intl";Bangkok;Thailand;Maxair
"Yangon Intl";Yangon;Burma;"Incheon Intl";Seoul;"South Korea";Maxair
"Yangon Intl";Yangon;Burma;"Changi Intl";Singapore;Singapore;Maxair
"Changi Intl";Singapore;Singapore;"Suvarnabhumi Intl";Bangkok;Thailand;Maxair
"Bella Coola Airport";"Bella Coola";Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Anahim Lake Airport";"Anahim Lake";Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Campbell River";"Campbell River";Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Powell River Airport";"Powell River";Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
Comox;Comox;Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Williams Lake";"Williams Lake";Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Canadian Rockies Intl";Cranbrook;Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Victoria Intl";Victoria;Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Port Hardy";"Port Hardy";Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Trail Airport";Trail;Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
"Masset Airport";Masset;Canada;"Vancouver Intl";Vancouver;Canada;"Pacific Coastal Airline"
Adana;Adana;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
"Adnan Menderes";Izmir;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
Antalya;Antalya;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
"Bodrum - Milas";Bodrum;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
Diyarbakir;Diyabakir;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
Dalaman;Dalaman;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
"Ercan International Airport";Nicosia;Cyprus;Ataturk;Istanbul;Turkey;"Onur Air"
Erzurum;Erzurum;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
Elazig;Elazig;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
"Sanliurfa GAP";Sanliurfa;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
Oguzeli;Gaziantep;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
"Ganja Airport";Ganja;Azerbaijan;Ataturk;Istanbul;Turkey;"Onur Air"
Erhac;Malatya;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
"Odesa Intl";Odessa;Ukraine;Ataturk;Istanbul;Turkey;"Onur Air"
"Uromiyeh Airport";Uromiyeh;Iran;Ataturk;Istanbul;Turkey;"Onur Air"
Trabzon;Trabzon;Turkey;Ataturk;Istanbul;Turkey;"Onur Air"
"Mar Del Plata";"Mar Del Plata";Argentina;"Aeroparque Jorge Newbery";"Buenos Aires";Argentina;"TRIP Linhas A"
Rosario;Rosario;Argentina;"Aeroparque Jorge Newbery";"Buenos Aires";Argentina;"TRIP Linhas A"
"Sauce Viejo";"Santa Fe";Argentina;"Aeroparque Jorge Newbery";"Buenos Aires";Argentina;"TRIP Linhas A"
"Queen Alia Intl";Amman;Jordan;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Benina;Benghazi;Libya;"Queen Alia Intl";Amman;Jordan;"Afriqiyah Airways"
Benina;Benghazi;Libya;"Cairo Intl";Cairo;Egypt;"Afriqiyah Airways"
Benina;Benghazi;Libya;"Dubai Intl";Dubai;"United Arab Emirates";"Afriqiyah Airways"
Benina;Benghazi;Libya;Ataturk;Istanbul;Turkey;"Afriqiyah Airways"
Benina;Benghazi;Libya;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Benina;Benghazi;Libya;Carthage;Tunis;Tunisia;"Afriqiyah Airways"
"Cairo Intl";Cairo;Egypt;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
"Mohammed V Intl";Casablanca;Morocco;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Dusseldorf;Duesseldorf;Germany;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
"Dubai Intl";Dubai;"United Arab Emirates";"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
"Borg El Arab Intl";Alexandria;Egypt;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Ataturk;Istanbul;Turkey;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Khartoum;Khartoum;Sudan;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Gatwick;London;"United Kingdom";"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
"Misratah Airport";Misratah;Libya;"Cairo Intl";Cairo;Egypt;"Afriqiyah Airways"
"Misratah Airport";Misratah;Libya;Carthage;Tunis;Tunisia;"Afriqiyah Airways"
"Diori Hamani";Niamey;Niger;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Sebha;Sebha;Libya;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
Sebha;Sebha;Libya;Carthage;Tunis;Tunisia;"Afriqiyah Airways"
Thyna;Sfax;Tunisia;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
"Tripoli Intl";Tripoli;Libya;"Queen Alia Intl";Amman;Jordan;"Afriqiyah Airways"
"Tripoli Intl";Tripoli;Libya;"Cairo Intl";Cairo;Egypt;"Afriqiyah Airways"
"Tripoli Intl";Tripoli;Libya;Dusseldorf;Duesseldorf;Germany;"Afriqiyah Airways"
"Tripoli Intl";Tripoli;Libya;"Dubai Intl";Dubai;"United Arab Emirates";"Afriqiyah Airways"
"Tripoli Intl";Tripoli;Libya;Ataturk;Istanbul;Turkey;"Afriqiyah Airways"
"Tripoli Intl";Tripoli;Libya;Gatwick;London;"United Kingdom";"Afriqiyah Airways"
"Tripoli Intl";Tripoli;Libya;Carthage;Tunis;Tunisia;"Afriqiyah Airways"
Carthage;Tunis;Tunisia;"Tripoli Intl";Tripoli;Libya;"Afriqiyah Airways"
"Suvarnabhumi Intl";Bangkok;Thailand;Pudong;Shanghai;China;"China SSS"
"Baiyun Intl";Guangzhou;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Changde Airport";Changde;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Changchun;Changchun;China;Pudong;Shanghai;China;"China SSS"
Jiangbei;Chongqing;China;"Hong Kong Intl";"Hong Kong";"Hong Kong";"China SSS"
Jiangbei;Chongqing;China;Pudong;Shanghai;China;"China SSS"
Jiangbei;Chongqing;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Huanghua;Changcha;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Shuangliu;Chengdu;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Zhoushuizi;Dalian;China;Pudong;Shanghai;China;"China SSS"
"Dayong Airport";Dayong;China;Pudong;Shanghai;China;"China SSS"
Xiaoshan;Hangzhou;China;"Hong Kong Intl";"Hong Kong";"Hong Kong";"China SSS"
"Zhijiang Airport";Zhijiang;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Hong Kong Intl";"Hong Kong";"Hong Kong";Pudong;Shanghai;China;"China SSS"
Taiping;Harbin;China;Pudong;Shanghai;China;"China SSS"
"Saga Airport";Saga;Japan;Pudong;Shanghai;China;"China SSS"
Hyakuri;Ibaraki;Japan;Pudong;Shanghai;China;"China SSS"
Yinchuan;Yinchuan;China;Pudong;Shanghai;China;"China SSS"
Yinchuan;Yinchuan;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Zhoubai;Qianjiang;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Quanzhou Airport";Quanzhou;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Wujiaba;Kunming;China;Pudong;Shanghai;China;"China SSS"
Wujiaba;Kunming;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Longdongbao;Guiyang;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Liangjiang;Guilin;China;Pudong;Shanghai;China;"China SSS"
"Lanzhou Airport";Lanzhou;China;Pudong;Shanghai;China;"China SSS"
"Macau Intl";Macau;Macau;Pudong;Shanghai;China;"China SSS"
"Mianyang Airport";Mianyang;China;Pudong;Shanghai;China;"China SSS"
Lukou;Nanjing;China;"Hong Kong Intl";"Hong Kong";"Hong Kong";"China SSS"
Wuxu;Nanning;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Pudong;Shanghai;China;"Suvarnabhumi Intl";Bangkok;Thailand;"China SSS"
Pudong;Shanghai;China;"Hong Kong Intl";"Hong Kong";"Hong Kong";"China SSS"
"Siem Reap";Siem-reap;Cambodia;Pudong;Shanghai;China;"China SSS"
"Shenyang Taoxian International Airport";Shenyang;China;Pudong;Shanghai;China;"China SSS"
"Shenyang Taoxian International Airport";Shenyang;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Shijiazhuang Daguocun International Airport";Shijiazhuang;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Wai Sha Airport";Shantou;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Phoenix International";Sanya;China;Pudong;Shanghai;China;"China SSS"
"Phoenix International";Sanya;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Baoan Intl";Shenzhen;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Takamatsu;Takamatsu;Japan;Pudong;Shanghai;China;"China SSS"
Liuting;Qingdao;China;Pudong;Shanghai;China;"China SSS"
Liuting;Qingdao;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Diwopu;Urumqi;China;"Hongqiao Intl";Shanghai;China;"China SSS"
Gaoqi;Xiamen;China;"Hong Kong Intl";"Hong Kong";"Hong Kong";"China SSS"
Gaoqi;Xiamen;China;Pudong;Shanghai;China;"China SSS"
Gaoqi;Xiamen;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Zhuhai Airport";Zhuhai;China;Pudong;Shanghai;China;"China SSS"
"Zhuhai Airport";Zhuhai;China;"Hongqiao Intl";Shanghai;China;"China SSS"
"Reina Beatrix Intl";Oranjestad;Aruba;"Miami Intl";Miami;"United States";"MDLR Airlines"
Hato;Willemstad;"Netherlands Antilles";"Orlando Intl";Orlando;"United States";"MDLR Airlines"
Hato;Willemstad;"Netherlands Antilles";"Miami Intl";Miami;"United States";"MDLR Airlines"
"Toussaint Louverture Intl";Port-au-prince;Haiti;"Miami Intl";Miami;"United States";"MDLR Airlines"
"Nantucket Mem";Nantucket;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Albany Intl";Albany;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Augusta State";Augusta;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Hancock County - Bar Harbor";"Bar Harbor";"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Barnstable Muni Boardman Polando Fld";Barnstable;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Lebanon Municipal Airport";Lebanon;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Martha\'s Vineyard";"Vineyard Haven MA";"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Provincetown Muni";Provincetown;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
